algorithm,T,churn,jaccard_distance,added,removed,note
Placement-Bruteforce,0,0.000000,0.000000,0,0,first iteration for Placement-Bruteforce
Placement-Bruteforce,1,0.333333,0.333333,1,1,
Placement-Bruteforce,2,0.166667,0.166667,1,0,
Placement-Bruteforce,3,0.000000,0.000000,0,0,
Placement-Bruteforce,4,0.285714,0.285714,1,1,
Placement-Greedy,0,0.000000,0.000000,0,0,first iteration for Placement-Greedy
Placement-Greedy,1,0.166667,0.166667,1,0,
Placement-Greedy,2,0.000000,0.000000,0,0,
Placement-Greedy,3,0.166667,0.166667,0,1,
Placement-Greedy,4,0.000000,0.000000,0,0,
Placement-Random,0,0.000000,0.000000,0,0,first iteration for Placement-Random
Placement-Random,1,0.333333,0.333333,2,0,
Placement-Random,2,0.000000,0.000000,0,0,
Placement-Random,3,0.285714,0.285714,1,1,
Placement-Random,4,0.375000,0.375000,2,1,
